Test Data File (Binary):
C:/Users/Dell/OneDrive/Desktop/drdo2/nist-randomness-tests/sequences/random_3.txt


Type of Test                                      	P-Value             	Conclusion
01. Frequency (Monobit) Test                      	0.022420682099596228	Random
02. Frequency Test within a Block                 	0.5779221849330397  	Random
03. Runs Test                                     	0.272774979980021   	Random
04. Test for the Longest Run of Ones in a Block   	0.7256823833977256  	Random
05. Binary Matrix Rank Test                       	0.5320686217466569  	Random
06. Discrete Fourier Transform (Spectral) Test    	0.976849397285314   	Random
07. Non-overlapping Template Matching Test        	0.19670661418322144 	Random
08. Overlapping Template Matching Test            	0.36221024174383865 	Random
09. Maurer's "Universal Statistical" Test         	-1.0                	Non-Random
10. Linear Complexity Test                        	0.32655039494516114 	Random
11. Serial Test:
													0.7691635360903383  	Random
													0.43530410642968725 	Random
12. Approximate Entropy Test                      	0.9672674431820804  	Random
13. Cumulative Sums Test (Forward)                	0.036022799659376   	Random
14. Cumulative Sums Test (Backward)               	0.01816786763473839 	Random
15. Random Excursions Test:
				State     	Chi Squared         	P-Value             	Conclusion
				-4        	3.348679853339797   	0.646397461539725   	Random
				-3        	1.9234570491803278  	0.85963163206883    	Random
				-2        	3.857316332726169   	0.5701365116178397  	Random
				-1        	5.583606557377049   	0.3488651878718823  	Random
				+1        	3.098360655737705   	0.6848245666519679  	Random
				+2        	2.473143088443635   	0.7805342319106239  	Random
				+3        	1.8581455737704922  	0.8684044499787579  	Random
				+4        	4.2090426803039716  	0.5197282920609124  	Random
16. Random Excursions Variant Test:
				State     	COUNTS              	P-Value             	Conclusion
				-9.0      	308                 	0.9764977673095925  	Random
				-8.0      	337                 	0.737977122564573   	Random
				-7.0      	350                 	0.6133263902831184  	Random
				-6.0      	351                 	0.5744154819439823  	Random
				-5.0      	318                 	0.8607248469455374  	Random
				-4.0      	292                 	0.8423070630992358  	Random
				-3.0      	319                 	0.7998817924610684  	Random
				-2.0      	364                 	0.16783386327035366 	Random
				-1.0      	343                 	0.12390807901734655 	Random
				+1.0      	297                 	0.7460057700658305  	Random
				+2.0      	293                 	0.7790826112028287  	Random
				+3.0      	336                 	0.5745783018744806  	Random
				+4.0      	361                 	0.3914522267834776  	Random
				+5.0      	381                 	0.30502514739031295 	Random
				+6.0      	425                 	0.14293715169248658 	Random
				+7.0      	410                 	0.23835612529829353 	Random
				+8.0      	399                 	0.32575917618147365 	Random
				+9.0      	417                 	0.2714027964255894  	Random
